StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Scorer,File_id,Time_day,weather_conditions,intersection_type,Dedicated_turn,Wait_at_intersection,signalized_intersect,opposing_lanes,vehicle_movement,Signal_obscured,signal_state,turn_signal,turn_phase,traffic_obscured,time_of_entering,gap_decision,time_of_exiting,lead_vehicle,crash,comment,incomplete_video,Scorer - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Initials of Scorer:,File_ID:,Time of day,Weather conditions,"Intersection type If all off the video only shows driver driving straight through intersections, then select the intersection closest to the end of the drive and complete the scoring sheet for it",Dedicated turn lanes at intersection? (for specific turn type),"Wait at intersection, due to queue or signal",Signalized Intersection,Opposing lanes,Vehicle Movement,Signal obscured?,Signal State at time of turn/going through intersection,Turn signal indication,Turn phasing (for direction of turn),Oncoming Traffic Obscured,Time of entering the intersection (to nearest 0.1 of a second)For example: 470258 would become 470200,Gap Decision,Time of completing intersection (to nearest 0.1 of a second)For example: 470258 would become 470200,Following lead vehicle through intersection,Was there a crash?,CommentsReport questions or anything unusual about the drive/video here,"If the driver waits at an intersection and the video ends, select yes",Scorer - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID2_TEXT_0f9d2c662cea421a838f1eedTopics""}"
3/21/18 14:17,3/21/18 14:18,1,,100,51,1,3/21/18 14:18,R_3KZStMhMCvzNuLF,,,,,42.36720276,-72.51850128,preview,EN,NLC,23232,1,2,2,1,1,2,1,2,2,2,4,3,3,2,1,1,2,,adsad,,Unknown
3/21/18 14:50,3/21/18 14:51,0,24.62.200.73,100,25,1,3/21/18 14:51,R_2pRiMdGMPralw4F,,,,,42.38960266,-72.45339966,anonymous,EN,test,asdff,1,1,2,2,2,1,2,1,2,1,1,3,2,3,1,3,1,,agfsd,,Unknown
3/21/18 14:56,3/21/18 14:56,0,24.62.200.73,100,32,1,3/21/18 14:56,R_3kcfmkA4GXpRfUJ,,,,,42.38960266,-72.45339966,anonymous,EN,test,asdf,1,2,2,1,2,2,2,1,1,1,1,1,1,333,2,33,1,,d,,Unknown
3/21/18 14:58,3/21/18 14:58,0,24.62.200.73,100,17,1,3/21/18 14:58,R_3FJV3pBH4OisLlP,,,,,42.38960266,-72.45339966,anonymous,EN,test,23,1,1,2,2,1,2,2,1,2,3,3,3,2,3,1,3,1,,33,,Unknown
3/21/18 14:58,3/21/18 14:58,0,24.62.200.73,100,21,1,3/21/18 14:58,R_BJKhVHIZLrycUN3,,,,,42.38960266,-72.45339966,anonymous,EN,test,33,1,2,1,2,1,2,1,1,2,1,1,1,2,3,1,3,1,,33,,Unknown
3/23/18 12:37,3/23/18 12:42,0,128.119.202.136,100,301,1,3/23/18 12:42,R_6Db09tiaB10MJNL,,,,,42.36720276,-72.51850128,anonymous,EN,AR,13816088,1,1,2,2,1,2,2,1,1,2,2,1,1,220200,1,224200,1,1,,1,Unknown
3/23/18 12:42,3/23/18 12:47,0,128.119.202.136,100,287,1,3/23/18 12:47,R_O1FwzhwRPjq4LSN,,,,,42.36720276,-72.51850128,anonymous,EN,AR,13816240,2,1,2,2,2,2,1,3,1,2,2,3,1,1739400,1,1742800,2,1,"Intersection was a four-way, but was off of an off-ramp, so the ""through"" direction from this perspective was a one-way back onto the highway, and no traffic was coming from the opposing direction.",1,Unknown
3/23/18 12:47,3/23/18 12:52,0,128.119.202.136,100,269,1,3/23/18 12:52,R_2YqQelIolMR2WXS,,,,,42.36720276,-72.51850128,anonymous,EN,AR,13866698,2,2,2,1,2,2,2,1,1,2,2,1,1,449700,1,481700,2,1,Completed intersection in the middle of the video to achieve full video. School bus slightly crept into the lane of the driver right before entering the intersection.,1,Unknown
3/23/18 12:52,3/23/18 12:55,0,128.119.202.136,100,174,1,3/23/18 12:55,R_10wkKCOuoM0iZ74,,,,,42.36720276,-72.51850128,anonymous,EN,AR,13897258,2,1,2,2,2,2,2,1,1,,2,1,1,17781000,1,17784000,1,1,,1,Unknown
3/23/18 12:55,3/23/18 12:59,0,128.119.202.136,100,270,1,3/23/18 12:59,R_e5wBi3Lq1uGSMWB,,,,,42.36720276,-72.51850128,anonymous,EN,AR,13906096,2,1,1,2,1,2,2,3,1,2,2,3,1,2845300,1,2847800,1,1,Dedicated turn lane was only for right turn - no left turn possible.,1,Unknown
3/23/18 12:59,3/23/18 13:02,0,128.119.202.136,100,152,1,3/23/18 13:02,R_1Krms6FKnyC3aIe,,,,,42.36720276,-72.51850128,anonymous,EN,AR,13986320,1,1,2,2,2,2,2,1,1,4,2,1,1,65900,,69200,1,1,,1,Unknown
3/23/18 13:02,3/23/18 13:04,0,128.119.202.136,100,118,1,3/23/18 13:04,R_2EbZSEAevKy474L,,,,,42.36720276,-72.51850128,anonymous,EN,AR,13988011,2,1,2,2,2,2,2,2,1,2,2,2,1,135700,1,140500,1,1,,1,Unknown
3/23/18 13:04,3/23/18 13:07,0,128.119.202.136,100,178,1,3/23/18 13:07,R_1lgkGrO9hfP0ihM,,,,,42.36720276,-72.51850128,anonymous,EN,AR,14258065,2,1,2,2,1,2,2,1,1,2,4,1,1,166600,1,176600,2,1,Was in intersection longer than expected due to vehicles ahead braking due to high volume of traffic.,1,Unknown
3/23/18 13:07,3/23/18 13:08,0,128.119.202.136,100,107,1,3/23/18 13:08,R_3Ia9cjLQenTEeTr,,,,,42.36720276,-72.51850128,anonymous,EN,AR,14318190,2,1,2,2,2,2,2,2,2,,,,,,,,2,1,,2,Unknown
